ID,paperTitle,year,publisher,citationCount
W4402754006,DETRs Beat YOLOs on Real-time Object Detection,2024,2022 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),1208
W4404820176,DriveLM: Driving with Graph Visual Question Answering,2024,Lecture notes in computer science,30
W4402703030,IS-Fusion: Instance-Scene Collaborative Fusion for Multimodal 3D Object Detection,2024,2022 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),27
W4396941548,Exploring Recurrent Long-Term Temporal Fusion for Multi-View 3D Perception,2024,IEEE Robotics and Automation Letters,27
W4393149498,Far3D: Expanding the Horizon for Surround-View 3D Object Detection,2024,Proceedings of the AAAI Conference on Artificial Intelligence,24
W4402704555,MonoCD: Monocular 3D Object Detection with Complementary Depths,2024,2022 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),21
W4399881121,MonoGAE: Roadside Monocular 3D Object Detection With Ground-Aware Embeddings,2024,IEEE Transactions on Intelligent Transportation Systems,18
W4393140058,DPL-SLAM: Enhancing Dynamic Point-Line SLAM Through Dense Semantic Methods,2024,IEEE Sensors Journal,17
W4402727763,BEVNeXt: Reviving Dense BEV Frameworks for 3D Object Detection,2024,2022 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),14
W4394711494,Multi-Sem Fusion: Multimodal Semantic Fusion for 3-D Object Detection,2024,IEEE Transactions on Geoscience and Remote Sensing,12
W4394625674,Monocular 3D Object Detection with LiDAR Guided Semi Supervised Active Learning,2024,2022 IEEE/CVF Winter Conference on Applications of Computer Vision (WACV),7
W4399387873,H-SLAM: Hybrid direct–indirect visual SLAM,2024,Robotics and Autonomous Systems,7
W4403841936,GraphBEV: Towards Robust BEV Feature Alignment for Multi-modal 3D Object Detection,2024,Lecture notes in computer science,7
W4399116131,"ContrastAlign: Toward Robust BEV Feature Alignment via Contrastive
  Learning for Multi-Modal 3D Object Detection",2024,arXiv (Cornell University),6
W4393156295,SOGDet: Semantic-Occupancy Guided Multi-View 3D Object Detection,2024,Proceedings of the AAAI Conference on Artificial Intelligence,6
W4394994394,Autonomous Vehicle Localization Without Prior High-Definition Map,2024,IEEE Transactions on Robotics,6
W4392876573,BEV-CFKT: A LiDAR-camera cross-modality-interaction fusion and knowledge transfer framework with transformer for BEV 3D object detection,2024,Neurocomputing,6
W4402568552,Multi-Modal 3D Object Detection by Box Matching,2024,IEEE Transactions on Intelligent Transportation Systems,5
W4394964661,LGD: A fast place recognition method based on the fusion of local and global descriptors,2024,Expert Systems with Applications,3
W4392251788,Robust Perception-Based Visual Simultaneous Localization and Tracking in Dynamic Environments,2024,IEEE Transactions on Cognitive and Developmental Systems,3
